AnoMes,VALOR,QUANTIDADE
2020-11-01,25869846307.88,29524895
2020-12-01,107200725983.28,124890953
2021-01-01,137919557328.95,169766107
2021-02-01,169605200611.96,229417959
2021-03-01,238340770220.35,328459612
2021-04-01,273600875934.87,410672264
2021-05-01,327381527710.6,543277868
2021-06-01,361363074005.61,626017643
2021-07-01,413422495889.49,745678802
2021-08-01,458004548195.06,815190849
2021-09-01,479641338711.08,871214150
2021-10-01,502076936938.82,979861897
2021-11-01,538329957357.92,1035141137
2021-12-01,622430760652.77,1224400751
2022-01-01,553979254715.74,1093368230
2022-02-01,562339048749.77,1162439565
2022-03-01,690198169767.02,1362478423
2022-04-01,680463238128.66,1419966427
2022-05-01,770623389392.4401,1575162709
2022-06-01,772735613068.59,1633750257
2022-07-01,811822138582.14,1749926758
2022-08-01,887047951676.72,1858906259
2022-09-01,880080246380.07,1921667894
2022-10-01,897476854771.21,2048976621
2022-11-01,921396464951.4,2103797250
2022-12-01,1046789857040.1,2423164689
2023-01-01,955287941949.87,2182916966
2023-02-01,906265615498.48,2153790143
2023-03-01,1098342242072.4,2546013172
2023-04-01,1029345903882.67,2519076701
2023-05-01,1146807267775.65,2758906073
2023-06-01,1157134727019.79,2858428807
2023-07-01,1207068806741.86,3077548077
2023-08-01,1286766917408.64,3278230437
2023-09-01,1277205134951.73,3351055742
2023-10-01,1380506540217.41,3554608720
2023-11-01,1422089601431.67,3705354264
2023-12-01,1600127611630.98,4213424368
2024-01-01,1483207502773.69,3850642790
2024-02-01,1423260736799.45,3847081494
2024-03-01,1591828523866.16,4322927194
2024-04-01,1736300646071.14,4345270379
2024-05-01,1770723860931.45,4620740116
2024-06-01,1776382134249.44,4657223835
2024-07-01,1954750075953.24,4786637559
2024-08-01,1948182346744.9,5009383921
2024-09-01,1937486550942.18,4894958645
2024-10-01,2088462978453.3398,5096156670
2024-11-01,2081560932980.82,5171276538
2024-12-01,2329179212746.48,5710113496
2025-01-01,2077338552716.0898,5060285434
2025-02-01,2044475894314.54,4985804933
2025-03-01,2172420511192.14,5564431400
2025-04-01,2254213813041.34,5598161245
2025-05-01,2379223295206.9897,5930140613
2025-06-01,2395480750525.18,5799009959
2025-07-01,2562055966701.68,5996860799
2025-08-01,2550273065682.51,6239608083
2025-09-01,2651624514106.75,6133276456
2025-10-01,2766788281273.46,6453005306
2025-11-01,2607786621810.23,6460898392
2025-12-01,3146763361528.94,7098633064
2026-01-01,2700003643911.12,6364175378
2026-02-01,2563439315830.26,5986274045
2026-03-01,3012732722325.55,6741946817
