AnoMes,VALOR,QUANTIDADE
202302,1148814.13,27622
202202,21822.0,107
202404,196557.95,844
202307,47498.03,136
202402,1431.0,4
202603,1460.63,53
202212,269393687.47,1694354
202306,8583.24,141
202302,7673.25,30
202208,600.0,1
202504,431035454.85,5142705
202408,26151989.87,586500
202410,550032.88,385
202308,407.42,71
202401,504563.16,1528
202111,50027.75,22
202412,381086.38,8103
202503,10.0,1
202211,60.0,10
202107,663.0,14
202402,8839756.31,77505
202401,248365.85,6291
202311,986.66,4
202412,24226119086.71,29240451
202210,240954.83,33
202308,3612707.88,17445
202307,3259854.52,13610
202211,2900.11,9
202402,606.0,3
202211,1342905.16,8049
202401,448528.24,3140
202106,1229.55,12
202307,134121.33,482
202510,1757.67,98
202504,13601.87,340
202108,8653.9,231
202302,286.71,5
202312,48348.38,121
202603,274.58,13
202501,426.0,2
202312,41073.43,585
202112,4803.85,12
202209,45319.78,153
202504,15092.58,145
202302,1955136563.51,6292187
202306,5404.12,140
202403,800.0,2
202209,110.0,14
202202,6677.38,81
202208,405.0,2
202506,1964.32,117
202210,580954.92,11594
202304,8270843.36,11424
202301,537455.1,1595
202511,223023.3,851
202602,345092515.31,1417293
202504,3239.09,10
202110,1776.29,12
202302,403227.56,5900
202111,2477.59,4
202203,9783931.49,5481
202310,6250496.71,155854
202108,13153.88,20
202502,523738.13,12386
202511,1165.54,41
202310,3725.1,17
202310,31528463.1,1183670
202106,22292.28,325
202309,2646150.16,22475
202509,217.0,5
202403,16058609.74,3296
202304,2949425.82,8047
202512,82407863.55,60692
202410,30039348.38,55424
202305,2593927.3,39546
202603,4756527.15,14004
202201,207516.05,8
202402,18965.69,208
202202,550.0,3
202205,18682.57,94
202503,22409.26,267
202601,81750.18,216
202504,119394.68,2166
202509,33508283.44,678726
202510,4.0,1
202403,1329.82,20
202205,2346095.46,7252
202212,217978.7,4701
202405,13558.96,362
202405,1294900.2,56108
202505,84123691.71,12779
202408,719056.14,12102
202211,577.5,4
202110,395.35,13
202507,1033.29,13
202504,1877629.28,971
202603,228530.52,253
202304,578.0,5
202601,31073.48,861
202405,17979.27,18
202506,20089.93,63
202212,195659.72,6825
202208,20930773.67,342
202512,331254.04,376
202507,11284575.22,12493
202504,500.0,1
202509,1153.39,36
202210,843896.84,3996
202507,250.01,3
202209,16123.16,90
202512,1198380874.3,1489570
202602,20986034.22,278400
202301,56205.51,38
202504,983303.19,9980
202408,1542703.95,41210
202208,108848.64,2953
202311,1487054.8,768
202601,19.9,1
202409,3434415.46,91733
202111,32696.97,83
202602,467.58,21
202307,170234564.81,357985
202407,129577.14,575
202408,264980.63,1306
202110,309984.15,3820
202211,53484518.8,436256
202511,100223.18,866
202410,154890292.07,1161675
202511,25863457.4,77979
202112,21489.98,319
202305,271151.98,1112
202501,3073179.42,914
202408,1542308.73,1366
202602,5623.4,69
202211,246307.02,230
202603,430526.3,950
202504,25008.95,15
202512,905.89,30
202506,11007447.18,97200
202301,25797096.64,309553
202206,6323173.93,4894
202308,2496525.29,4990
202310,6868.21,95
202506,2848527987.3,4445429
202506,75929177.51,412339
202405,1917990.13,46560
202601,11540152.01,30817
202106,135603584.79,12578
202208,7851.25,75
202210,500311.19,780
202108,61.78,1
